words,links,capital_words,spam_word_count,is_spam
156,4,4,0,1
175,2,2,2,0
374,3,17,3,1
57,1,2,4,0
316,8,22,4,1
41,0,3,2,0
176,1,0,0,0
134,1,1,3,0
311,1,8,5,1
127,0,2,2,0
255,2,26,1,1
87,1,3,1,0
156,0,0,2,0
224,1,3,2,0
88,0,1,1,0
119,5,1,6,0
396,4,11,7,1
538,3,20,5,1
726,2,22,4,1
427,1,1,5,0
612,10,20,4,1
243,0,3,2,0
596,1,5,0,1
151,2,3,6,0
106,1,0,2,0
142,9,24,10,1
764,3,13,3,1
95,1,3,1,0
418,1,1,2,0
472,2,1,2,0
156,3,3,0,0
193,2,1,1,1
209,3,0,0,0
97,2,29,10,1
211,10,8,5,1
209,1,2,2,0
93,0,3,2,0
94,3,2,2,0
207,0,8,1,0
559,4,19,4,1
141,1,2,1,0
291,4,1,10,1
195,5,6,1,1
171,1,3,1,0
39,0,0,0,0
74,2,3,4,0
219,1,8,1,1
364,1,1,1,0
665,3,4,10,1
155,1,1,6,0
108,4,3,0,0
663,6,22,9,1
295,2,1,3,0
111,0,1,6,0
194,0,3,1,0
200,2,3,0,0
180,2,5,8,1
180,5,10,0,0
453,3,1,0,0
251,1,1,0,0
101,0,1,1,0
256,1,3,1,0
23,3,0,1,0
124,1,1,2,0
457,0,2,0,0
303,4,0,1,0
211,1,2,0,0
109,1,2,2,0
199,4,24,8,1
104,2,3,0,0
31,0,2,5,0
60,1,0,0,0
204,2,0,2,0
905,4,11,8,1
38,1,0,1,0
154,7,21,8,1
130,1,1,0,0
122,2,2,2,0
78,8,17,2,1
909,7,5,2,1
273,1,0,2,0
180,3,2,0,0
137,7,3,1,1
214,1,2,1,0
133,0,2,0,0
210,0,10,0,0
161,5,27,6,1
97,1,2,0,0
231,8,6,7,1
243,5,9,4,1
80,3,1,6,0
21,0,1,1,0
229,0,4,1,0
20,3,2,1,0
896,3,17,8,1
171,1,2,0,0
118,2,3,0,0
181,1,4,3,0
44,0,3,4,0
100,2,0,2,0
42,1,2,2,0
166,0,22,7,1
35,0,1,1,0
122,8,12,8,1
713,5,5,8,1
60,0,9,4,0
137,0,3,1,0
122,5,3,3,1
740,8,14,6,1
623,8,10,2,1
935,5,18,9,1
48,1,1,0,0
59,4,1,2,0
251,1,0,0,0
132,1,2,1,0
296,10,0,10,1
714,3,28,6,1
574,4,27,8,1
253,2,6,2,0
504,2,29,7,1
247,1,1,4,0
208,5,3,0,0
520,9,8,10,1
216,7,23,10,1
451,10,30,6,1
244,2,1,7,1
96,1,0,2,0
143,10,28,8,1
82,1,3,2,0
132,2,5,6,0
691,3,26,3,1
497,3,5,7,1
285,0,1,0,0
220,9,24,2,1
198,2,0,0,0
228,1,0,2,0
212,5,2,0,0
65,3,2,1,0
222,1,2,0,0
93,0,0,4,0
679,7,14,7,1
868,7,5,7,1
232,2,30,6,1
82,3,1,10,1
635,7,23,1,1
193,10,7,4,1
262,2,0,0,0
164,2,4,2,0
194,3,19,3,1
154,2,3,5,0
741,2,21,8,1
256,4,3,8,1
239,4,15,5,1
346,1,4,5,0
146,2,10,2,0
295,4,3,0,0
337,1,4,3,1
101,3,0,1,1
491,3,3,1,0
62,0,3,3,0
446,0,2,0,0
607,9,11,1,1
51,0,2,2,0
274,4,23,4,1
230,0,1,0,0
294,0,2,1,0
819,9,15,4,1
588,3,11,6,1
414,1,1,0,0
242,1,1,4,0
292,5,2,1,0
765,6,9,7,1
114,8,6,9,1
76,2,2,2,0
869,10,8,3,1
325,6,3,8,1
784,2,5,10,1
92,1,2,0,0
170,2,9,10,1
426,10,29,2,1
415,4,21,10,1
59,1,3,2,0
642,5,6,6,1
172,2,1,1,0
108,4,16,9,1
458,7,16,8,1
874,8,5,8,1
481,10,22,6,1
865,2,14,4,1
181,1,3,0,0
34,2,6,2,0
126,4,1,7,1
150,2,3,1,0
470,1,3,1,0
223,0,0,0,0
86,5,27,8,1
20,1,1,2,0
65,3,2,7,1
292,2,0,1,0
125,5,28,5,1
78,3,3,9,1
35,2,0,2,0
926,0,20,8,1
371,4,7,6,1
124,2,0,2,0
657,5,28,3,1
399,0,3,2,0
272,1,1,2,0
683,7,30,4,1
385,4,2,6,1
65,2,2,2,0
72,2,17,1,1
719,9,2,8,1
259,7,0,5,1
242,1,1,3,0
324,5,25,8,1
421,7,17,5,1
123,1,2,0,0
358,0,21,6,1
47,3,1,5,0
76,0,7,6,0
128,2,8,3,1
77,5,27,6,1
637,5,8,10,1
778,3,10,3,1
679,8,7,10,1
74,1,0,2,0
27,0,2,0,0
610,4,25,3,1
371,0,4,6,1
182,1,1,1,0
832,4,25,7,1
212,3,19,7,1
125,2,12,3,1
297,2,13,7,1
323,3,25,3,1
269,5,2,1,0
994,9,20,1,1
348,6,1,7,1
119,4,4,3,1
72,2,0,2,0
133,0,0,1,0
842,2,23,0,1
46,1,2,0,0
322,5,2,1,0
644,8,15,4,1
452,5,24,3,1
738,7,22,8,1
151,3,11,4,1
221,1,2,0,0
275,0,8,4,0
241,5,26,3,1
895,4,22,2,1
560,9,11,0,1
131,0,2,0,0
375,3,3,3,1
148,2,3,2,0
333,7,14,7,1
157,1,2,0,0
218,2,0,4,0
251,3,4,2,0
235,8,2,3,1
78,2,0,2,0
352,0,1,2,0
487,5,6,3,1
142,0,2,0,0
299,8,0,10,1
56,3,1,5,1
137,2,0,6,1
204,1,8,2,0
230,2,3,1,0
231,1,2,6,0
911,3,18,8,1
284,1,1,0,0
133,0,20,6,1
90,1,3,2,0
414,3,26,10,1
215,2,1,1,0
124,0,4,3,0
286,1,10,2,0
144,1,4,0,0
517,6,6,7,1
409,5,16,2,1
735,5,20,5,1
160,9,0,3,1
123,3,2,2,0
179,0,3,0,0
64,0,2,0,0
90,3,7,5,1
666,3,20,4,1
426,1,0,0,0
830,5,29,5,1
477,2,25,10,1
114,8,4,2,1
816,0,20,7,1
36,3,0,2,0
869,5,24,3,1
276,8,14,6,1
253,2,1,1,0
165,3,4,0,0
106,1,0,0,0
218,3,12,10,1
872,10,17,8,1
333,1,5,10,1
262,1,2,5,0
211,1,2,1,0
574,10,21,7,1
125,2,0,2,0
178,0,8,2,0
966,10,20,10,1
129,3,30,1,1
111,1,3,1,0
281,1,1,0,0
217,0,3,0,0
96,1,0,0,0
152,5,0,1,0
193,6,5,2,1
177,2,3,0,0
404,5,10,1,1
78,1,10,2,0
547,3,2,3,1
62,2,10,1,0
74,1,3,0,0
507,3,3,10,1
63,0,17,4,1
997,2,17,4,1
708,3,7,8,1
176,1,1,2,0
155,2,1,1,0
200,2,6,0,0
21,0,1,2,0
681,4,18,10,1
167,0,2,0,0
524,2,11,4,1
96,0,1,6,0
98,8,16,2,1
271,4,1,0,0
255,2,1,1,0
75,3,7,6,1
198,1,3,0,0
177,3,19,4,1
166,2,1,2,0
118,2,1,0,0
951,0,14,5,1
200,1,5,1,0
846,3,22,7,1
294,2,1,0,0
233,4,8,2,0
171,1,1,1,0
126,3,21,9,1
935,9,8,3,1
252,2,2,2,0
110,1,2,5,0
135,3,17,9,1
429,9,27,9,1
882,1,18,9,1
21,0,1,1,0
514,5,7,10,1
836,1,24,8,1
872,7,11,7,1
28,1,2,2,0
275,1,5,0,0
223,2,1,2,0
107,6,24,0,1
657,1,17,3,1
805,10,3,1,1
156,2,1,0,0
390,6,23,3,1
39,2,5,1,0
526,2,24,6,1
565,7,20,1,1
863,7,17,5,1
159,1,0,2,0
519,6,8,6,1
299,1,8,2,0
199,2,2,0,0
739,6,30,6,1
280,2,2,2,0
417,5,13,8,1
917,2,17,3,1
157,0,23,8,1
205,1,0,5,0
294,4,15,9,1
97,2,2,2,0
286,0,3,2,0
132,0,26,5,1
938,2,6,9,1
633,1,19,2,1
573,5,27,4,1
90,4,27,10,1
255,2,3,2,0
66,2,29,3,1
224,2,3,2,0
243,1,1,5,0
127,9,17,8,1
218,2,2,0,0
130,1,2,5,0
160,2,1,2,0
200,0,6,10,1
452,3,2,0,1
879,0,12,1,1
892,7,24,8,1
30,2,1,0,0
73,4,3,0,0
720,7,8,10,1
314,7,24,2,1
930,4,13,3,1
170,2,1,2,0
559,5,28,9,1
208,7,15,10,1
204,0,3,1,0
855,7,22,4,1
178,2,18,5,1
955,6,10,8,1
349,7,4,1,1
106,8,17,3,1
245,5,28,7,1
49,0,0,0,0
506,10,9,10,1
761,2,2,6,1
132,3,8,5,1
169,1,0,6,0
153,1,2,0,0
165,1,1,1,0
414,8,11,10,1
27,2,2,0,0
45,0,2,0,0
177,0,1,1,0
248,0,5,4,0
137,1,3,0,0
330,2,0,2,1
283,2,0,3,0
496,4,4,0,1
89,5,15,9,1
302,7,15,0,1
484,2,1,3,0
224,10,29,10,1
299,1,2,2,0
256,6,7,2,1
325,1,0,2,0
119,1,0,3,0
196,10,1,8,1
183,3,4,3,1
706,0,17,6,1
212,9,26,7,1
723,2,3,5,1
175,0,0,1,0
351,1,0,0,0
92,1,0,1,0
94,0,1,2,0
997,6,6,7,1
43,2,1,1,0
275,9,3,5,1
419,8,8,6,1
21,2,3,1,0
118,7,24,7,1
164,2,26,10,1
46,0,3,2,0
46,2,1,0,0
200,1,18,6,1
299,9,2,3,1
109,2,10,0,1
476,10,11,8,1
117,2,3,4,0
452,6,12,6,1
393,0,2,5,0
533,1,30,5,1
613,6,5,9,1
88,2,18,8,1
179,2,29,6,1
314,0,8,5,1
127,0,4,0,0
246,5,9,3,1
160,0,3,2,0
511,3,15,10,1
479,1,0,1,0
383,0,3,1,0
36,0,3,2,0
259,1,0,2,0
49,0,2,4,0
128,2,2,2,0
239,0,4,2,0
810,4,15,5,1
427,0,29,4,1
257,4,3,1,0
720,5,9,3,1
156,2,11,10,1
164,10,12,9,1
268,5,5,6,1
415,6,29,6,1
61,1,2,1,0
50,1,1,0,0
710,8,12,9,1
180,5,7,10,1
170,1,2,0,0
951,8,8,6,1
577,3,19,5,1
68,0,1,2,0
180,1,4,1,0
909,9,12,7,1
633,8,5,10,1
884,4,5,8,1
140,8,15,5,1
254,0,1,1,0
100,2,1,2,0
183,0,2,0,0
1000,0,30,6,1
846,0,4,4,1
220,2,0,1,0
739,5,5,5,1
240,0,2,1,0
227,3,1,1,0
94,1,2,2,0
153,2,29,4,1
21,0,2,4,0
316,3,3,5,1
83,2,0,0,0
114,0,2,0,0
72,2,19,4,1
261,1,4,1,0
156,2,4,8,1
216,0,2,2,0
270,2,2,4,0
745,2,5,7,1
336,2,9,9,1
38,1,6,1,0
900,9,6,6,1
69,7,27,6,1
223,7,21,3,1
237,2,3,6,0
429,7,26,10,1
239,0,1,2,0
106,1,1,0,0
788,1,29,5,1
328,10,30,10,1
34,0,0,2,0
299,7,10,8,1
381,1,1,0,0
889,2,24,10,1
443,0,0,1,0
191,2,0,2,0
123,1,3,1,0
455,1,3,0,0
32,2,3,2,0
610,1,8,7,1
285,1,2,1,0
434,4,8,7,1
156,1,3,2,0
153,2,3,1,0
59,0,1,2,0
196,0,9,6,1
169,8,25,9,1
814,0,7,9,1
298,2,6,1,0
184,10,24,9,1
339,2,1,2,0
971,10,19,4,1
61,4,17,3,1
242,3,1,6,0
341,3,11,8,1
774,2,14,7,1
369,0,3,2,0
832,4,16,1,1
48,1,0,0,0
226,1,10,1,0
534,3,6,0,1
149,1,7,2,0
803,0,16,5,1
979,5,1,7,1
234,2,2,1,0
200,1,0,0,0
645,6,3,8,1
107,2,0,2,0
102,2,0,0,0
539,4,4,3,1
366,2,3,0,0
35,2,3,2,0
622,5,1,7,1
558,6,0,10,1
169,0,2,3,0
192,1,9,2,0
244,2,1,2,0
994,8,16,0,1
202,2,2,0,0
339,5,19,9,1
269,3,0,1,0
232,1,2,2,0
185,1,2,2,0
198,0,2,2,0
279,5,2,2,0
161,2,1,1,0
217,1,2,1,0
440,3,25,0,1
623,3,15,10,1
635,2,9,6,1
81,10,22,8,1
366,2,1,1,0
168,3,6,0,1
430,8,16,3,1
183,0,2,0,0
913,8,3,8,1
219,2,9,2,0
174,7,12,10,1
756,3,28,9,1
558,0,10,5,1
238,2,2,1,0
804,10,15,3,1
288,3,6,1,0
888,2,4,3,1
730,8,20,4,1
67,0,6,5,0
447,6,21,9,1
178,1,2,2,0
703,4,6,10,1
98,6,3,6,1
97,8,9,4,1
57,0,1,1,0
124,4,1,5,1
140,1,2,2,0
94,9,7,1,1
292,0,1,0,0
88,4,2,2,0
688,9,28,9,1
115,2,6,0,1
639,2,2,5,1
117,2,0,2,0
315,3,21,3,1
473,1,0,2,0
264,2,1,0,0
363,0,2,0,0
814,7,7,7,1
245,0,0,0,0
248,10,3,3,1
137,4,3,0,0
265,2,1,2,0
714,3,5,4,1
363,1,1,2,0
130,8,18,8,1
268,0,2,1,0
475,0,0,2,0
743,7,19,5,1
909,4,25,4,1
632,0,24,4,1
163,2,3,2,0
282,0,5,6,0
78,1,3,1,0
170,0,2,1,0
781,10,3,0,1
379,0,1,0,0
105,1,2,0,0
107,4,18,8,1
359,9,7,8,1
153,4,3,2,0
122,1,3,1,0
982,4,15,5,1
471,2,9,6,1
251,5,5,0,0
300,1,4,1,0
168,2,7,2,0
361,3,14,10,1
291,2,2,4,0
449,1,3,1,0
270,1,3,4,0
423,10,5,6,1
83,1,0,0,0
996,9,2,8,1
172,0,0,3,0
296,1,0,1,0
237,0,7,2,0
665,2,23,0,1
761,5,29,7,1
699,3,5,3,1
630,6,22,4,1
875,3,30,8,1
340,1,3,6,0
490,1,2,6,0
146,0,1,2,0
453,1,0,1,0
135,0,3,0,1
265,2,1,0,0
344,0,3,1,0
56,9,11,8,1
145,2,3,0,0
579,3,7,10,1
20,1,3,0,0
242,2,2,1,0
116,1,5,0,0
210,10,21,4,1
891,3,18,4,1
291,1,2,4,0
261,2,2,2,0
204,2,1,2,0
469,7,2,10,1
326,1,2,0,0
960,9,19,8,1
760,10,9,7,1
37,0,1,2,0
240,1,1,1,0
394,3,4,3,1
965,3,14,8,1
205,7,13,7,1
267,2,1,0,0
298,3,22,8,1
164,1,3,1,0
74,3,12,4,1
230,1,2,2,0
208,0,0,1,0
452,4,20,5,1
253,0,3,1,0
174,2,2,2,0
259,2,7,7,1
715,9,28,5,1
554,0,28,10,1
297,2,0,2,0
832,6,25,1,1
283,4,26,6,1
994,2,10,6,1
135,3,23,9,1
241,0,0,3,0
219,1,3,1,0
357,9,16,1,1
593,8,15,3,1
92,2,5,1,1
247,0,0,0,0
575,5,29,3,1
283,0,0,1,0
725,8,3,9,1
242,2,3,5,0
138,2,28,7,1
55,3,26,7,1
459,7,27,3,1
198,1,7,3,0
132,2,2,0,0
39,0,0,2,0
292,1,3,1,0
177,2,1,1,0
648,7,21,4,1
239,2,1,4,0
277,1,2,4,0
999,3,2,9,1
651,10,1,9,1
336,3,3,4,0
168,5,5,3,1
188,0,0,1,0
528,4,17,7,1
750,3,18,3,1
128,1,24,1,1
672,10,7,10,1
50,2,6,8,1
22,1,1,2,0
197,0,3,0,0
153,8,24,5,1
33,2,0,5,0
113,0,3,2,0
193,2,3,1,0
71,2,0,2,0
593,4,20,3,1
253,3,18,7,1
143,6,20,3,1
366,6,12,8,1
181,8,6,6,1
167,2,13,1,1
59,0,20,7,1
633,2,19,8,1
168,4,2,1,0
500,4,18,3,1
164,2,3,1,0
742,7,6,3,1
158,6,19,1,1
218,2,2,1,0
274,1,1,0,0
368,2,16,2,1
574,9,1,5,1
301,1,21,3,1
632,8,28,8,1
220,1,2,2,0
181,2,1,2,0
31,1,0,0,0
153,2,4,0,0
125,2,2,2,0
872,5,0,10,1
247,2,3,2,0
170,0,3,1,0
816,9,12,5,1
743,3,4,1,1
287,1,8,2,0
318,7,26,5,1
183,5,2,0,0
95,2,3,0,0
361,9,25,9,1
841,4,15,9,1
639,3,17,3,1
296,2,1,2,0
228,0,1,2,0
238,2,2,5,0
482,6,10,4,1
507,0,21,8,1
38,2,0,6,0
147,0,3,2,0
33,2,2,2,0
327,0,3,0,0
119,0,3,1,0
780,3,7,8,1
352,5,23,4,1
895,2,23,2,1
193,7,18,1,1
226,2,2,0,0
586,10,29,2,1
141,1,1,1,0
318,9,12,0,1
802,2,15,3,1
100,2,2,1,0
167,0,0,1,0
431,4,5,5,1
299,2,6,7,1
50,0,3,4,1
470,3,5,5,1
244,2,1,1,0
878,2,4,7,1
131,1,2,4,0
798,5,12,7,1
53,0,2,4,0
61,3,0,6,1
511,3,26,5,1
602,10,30,5,1
718,2,4,8,1
53,3,8,4,1
637,3,30,1,1
115,1,5,0,0
130,3,3,1,0
243,1,3,2,0
682,4,16,3,1
872,7,1,10,1
168,1,2,0,0
301,10,3,6,1
923,2,17,1,1
129,0,3,6,0
76,3,5,9,1
117,1,3,2,0
52,1,1,2,0
996,4,19,3,1
730,3,17,10,1
249,7,10,9,1
104,1,3,1,0
357,1,3,1,0
460,3,15,4,1
647,5,17,10,1
567,1,16,4,1
50,10,0,4,1
54,1,3,3,0
978,6,3,3,1
281,2,4,6,1
198,7,22,8,1
151,1,3,6,0
128,2,3,1,0
67,1,3,1,0
118,2,6,8,1
84,2,2,2,0
812,9,13,7,1
505,4,25,6,1
575,5,27,4,1
811,10,10,8,1
505,10,3,6,1
456,3,11,10,1
247,1,7,6,1
83,1,0,0,0
938,6,0,9,1
87,0,1,0,0
192,3,9,9,1
195,1,0,0,0
473,4,12,9,1
211,0,18,0,1
716,0,2,6,1
106,10,11,10,1
238,1,0,0,0
163,3,1,4,0
50,1,3,0,0
66,1,1,1,0
123,9,2,6,1
480,4,28,9,1
610,8,18,3,1
93,1,3,0,0
73,5,0,3,1
103,2,25,7,1
959,9,28,10,1
546,4,7,4,1
314,0,2,0,0
63,2,3,2,0
232,0,4,8,1
404,1,2,6,0
457,6,26,10,1
400,10,27,10,1
103,4,0,2,0
95,8,13,3,1
45,2,0,1,0
444,8,0,6,1
243,4,14,3,1
70,2,5,2,0
585,9,9,0,1
795,5,14,1,1
289,0,2,3,0
156,3,11,6,1
80,2,3,0,0
400,3,22,10,1
288,2,2,2,0
78,2,3,2,0
430,1,2,0,0
148,3,5,1,0
166,1,2,4,0
75,0,2,1,0
429,4,21,9,1
247,10,2,6,1
263,2,3,0,0
54,2,11,5,1
289,9,4,10,1
997,4,30,3,1
126,0,0,1,0
20,2,2,0,0
186,1,4,2,0
144,2,3,1,0
359,0,1,6,1
200,0,1,1,0
790,9,13,1,1
229,1,3,2,0
184,0,18,5,1
83,2,16,3,1
40,2,1,1,0
307,7,7,3,1
421,10,9,3,1
309,2,26,7,1
115,0,3,0,0
170,4,20,7,1
45,0,1,2,0
695,2,0,3,1
640,5,4,5,1
961,2,23,6,1
239,1,1,2,0
105,2,8,0,0
162,1,1,3,0
304,0,4,1,0
92,3,29,10,1
469,4,3,5,1
300,4,18,6,1
275,0,9,1,0
824,2,20,4,1
195,5,1,1,0
343,5,5,0,0
185,4,26,2,1
110,6,10,8,1
442,3,28,10,1
792,6,28,7,1
755,10,26,5,1
120,2,21,3,1
79,4,20,3,1
364,10,11,1,1
174,0,24,4,1
497,6,2,4,1
645,6,23,3,1
173,1,7,2,1
973,9,27,9,1
192,2,3,2,0
60,4,0,0,0
231,0,4,2,0
58,1,0,1,0
130,2,0,2,0
40,2,3,2,0
198,3,19,4,1
187,5,23,10,1
84,1,14,10,1
68,2,2,0,0
92,1,3,1,0
979,2,19,6,1
261,0,0,4,0
287,4,2,0,0
446,8,3,10,1
228,1,3,2,0
281,1,3,0,0
474,2,3,0,0
800,3,15,3,1
183,2,9,0,0
79,0,3,2,0
137,2,2,2,0
38,0,0,2,0
184,2,0,2,0
705,9,23,9,1
31,1,2,1,0
59,1,0,1,0
420,3,20,1,1
160,1,1,0,0
656,6,27,3,1
223,0,6,0,0
436,9,29,5,1
681,7,22,1,1
288,5,0,1,0
422,2,1,0,0
754,9,24,4,1
737,2,22,1,1
54,5,12,7,1
161,3,3,0,0
160,2,2,0,0
504,8,6,4,1
71,5,2,1,0
448,9,10,9,1
130,7,2,6,1
88,2,2,0,0
171,4,8,2,0
937,3,20,4,1
23,0,1,1,0
972,7,13,5,1
279,9,14,3,1
174,1,4,2,0
232,6,29,9,1
418,7,20,3,1
622,9,22,7,1
73,2,2,0,0
184,2,0,6,0
750,10,9,3,1
355,1,15,5,1
405,9,1,4,1
273,2,0,3,0
259,10,20,7,1
149,1,3,2,0
39,1,0,0,0
183,2,0,5,0
39,0,0,1,0
314,6,26,10,1
501,2,9,8,1
230,0,3,2,0
116,1,3,0,0
382,5,4,9,1
866,3,15,3,1
123,7,3,3,1
464,5,0,2,0
170,2,9,2,0
